Data,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012
Ativo Realizável a Longo Prazo,"R$ 4 743 535,00","R$ 5 995 304,00","R$ 5 009 424,00","R$ 6 010 440,00","R$ 5 961 469,00","R$ 9 090 580,00","R$ 6 184 551,00","R$ 5 859 775,00","R$ 4 376 472,00","R$ 4 393 090,00","R$ 3 796 661,00","R$ 3 756 613,00","R$ 4 005 113,00","R$ 4 103 491,00","R$ 4 135 693,00","R$ 1 262 822,00","R$ 0,00"
Aplicações Financeiras Avaliadas a Valor Justo,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 173 121,00","R$ 246 662,00","R$ 1 262 822,00","R$ 0,00"
Aplicações Financeiras Avaliadas ao Custo Amortizado,"R$ 104 340,00","R$ 95 904,00","R$ 87 790,00","R$ 74 399,00","R$ 118 628,00","R$ 226 314,00","R$ 95 183,00","R$ 84 416,00","R$ 67 966,00","R$ 75 580,00","R$ 70 323,00","R$ 72 856,00","R$ 63 796,00","R$ 69 435,00","R$ 0,00","R$ 0,00","R$ 0,00"
Contas a Receber,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 243,00","R$ 0,00","R$ 0,00"
Estoques,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Ativos Biológicos,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Tributos Diferidos,"R$ 2 268 142,00","R$ 3 546 910,00","R$ 2 727 682,00","R$ 3 059 473,00","R$ 2 749 852,00","R$ 5 499 439,00","R$ 3 211 413,00","R$ 2 791 228,00","R$ 1 392 500,00","R$ 2 140 412,00","R$ 1 560 626,00","R$ 1 478 593,00","R$ 1 646 530,00","R$ 1 737 679,00","R$ 1 922 701,00","R$ 0,00","R$ 0,00"
Despesas Antecipadas,"R$ 150 884,00","R$ 125 890,00","R$ 136 506,00","R$ 96 887,00","R$ 119 159,00","R$ 100 096,00","R$ 96 989,00","R$ 100 646,00","R$ 115 625,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Créditos com Partes Relacionadas,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Outros Ativos Não Circulantes,"R$ 2 220 169,00","R$ 2 226 600,00","R$ 2 057 446,00","R$ 2 779 681,00","R$ 2 973 830,00","R$ 3 264 731,00","R$ 2 780 966,00","R$ 2 883 485,00","R$ 2 800 381,00","R$ 2 177 098,00","R$ 2 165 712,00","R$ 2 205 164,00","R$ 2 294 787,00","R$ 2 123 256,00","R$ 1 966 087,00","R$ 0,00","R$ 0,00"
